,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4461,A,B,-,A,A,A,-,B,-,-,A,-,B,-,A,-,B,-,A,A,-,-,-,B,-,-,-,-,B,B,B,A,-,-,A,-,-,A,A,-,-,B,A,B,-,A,B,-,B,-,B,A,-,B,-,-,-,-,B,-,A,A,A,-,A,B,-,A,-,-,B,B,-,-,B,A,-,B,B,-,A,-,B,-,A,-,-,-,A,A,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,B,-,B,-,-,-,A,B,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,-,-,B,-,-,-,-,-,A,A,-,B,B,-,-,-,-,B,A,B,-,-,-,B,-,B,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,-,-,-,-,B,-,-,A,-,B,-,B,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,B,-,B,-,-,-
A6994,A,B,-,-,A,-,-,B,-,-,A,-,B,-,A,-,B,-,-,A,-,-,-,B,-,-,-,-,B,B,B,A,-,-,A,-,-,A,-,-,-,B,-,B,-,-,B,-,B,-,B,-,-,-,B,-,-,-,B,-,A,-,-,-,A,B,-,A,-,-,B,B,-,-,B,A,-,B,B,-,A,-,B,-,-,-,-,-,-,A,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,A,-,-,A,-,A,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,B,-,-,-,-,-,B,B,-,-,-,-,B,-,-,-,-,-,B,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,B,-,-,A,-,B,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,B,-,-,-,-,-
A2246,A,B,-,-,A,A,-,B,-,-,A,-,B,-,A,-,B,-,A,A,-,-,-,B,-,-,-,-,B,B,B,B,-,-,-,-,-,A,A,-,-,B,A,B,-,B,B,-,B,-,B,-,-,B,B,-,-,-,B,-,A,A,A,-,A,B,-,A,-,-,B,B,-,-,B,-,-,B,B,-,A,-,B,-,A,-,-,-,A,A,-,B,-,-,-,B,-,-,-,B,-,-,-,-,-,-,B,-,A,-,B,-,-,-,A,B,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,B,-,B,-,-,B,-,-,A,-,-,B,B,-,-,-,-,B,B,B,-,-,-,B,-,A,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,B,-,-,-,-,-,-,B,-,-,-,-,B,-,B,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,B,-,B,-,-,-
A1025,A,B,-,A,A,A,-,B,-,-,A,-,B,-,A,-,B,-,A,A,-,-,-,B,-,-,-,-,B,B,B,B,-,-,A,-,-,A,A,-,-,A,A,B,-,B,B,-,B,-,B,A,-,B,B,-,-,-,B,-,B,A,A,-,A,B,-,B,-,-,B,B,-,-,B,A,-,B,B,-,A,-,A,-,A,-,-,-,A,A,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,A,-,B,-,-,-,-,A,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,B,-,B,-,-,B,-,-,A,A,-,B,B,-,-,-,-,A,B,B,-,-,-,B,-,A,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,B,-,-,A,-,B,-,B,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,B,-,B,-,-,-
AD174-LG 3 Delta=double band,A,B,-,A,A,A,-,B,-,-,A,-,B,-,A,-,B,-,A,A,-,-,-,B,-,-,-,-,B,B,B,B,-,-,A,-,-,A,A,-,-,A,A,B,-,B,A,-,B,-,B,A,-,B,A,-,-,-,B,-,B,A,A,-,A,B,-,B,-,-,B,B,-,-,B,A,-,-,B,-,-,-,A,-,A,-,-,-,B,A,-,A,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,A,-,B,-,-,-,B,A,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,-,-,B,-,B,-,-,B,-,-,A,A,-,B,B,-,-,-,-,A,B,B,-,-,-,B,-,A,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,B,-,-,A,-,B,-,B,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,B,-,B,-,-,-
"CDC-27 A? IS 3 BANDS, B is 2 bands",A,B,-,A,A,A,-,B,-,-,A,-,-,-,A,-,B,-,A,A,-,-,-,B,-,-,-,-,B,B,B,A,-,-,A,-,-,A,A,-,-,A,A,B,-,B,A,-,B,-,B,A,-,B,A,-,-,-,B,-,B,A,A,-,A,B,-,B,-,-,B,B,-,-,B,A,-,B,B,-,A,-,A,-,B,-,-,-,B,A,-,A,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,A,-,B,-,-,-,-,A,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,B,-,-,-,A,-,B,B,-,-,-,-,A,B,B,-,-,-,B,-,A,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,B,-,-,A,-,B,-,B,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,-,-,-,-,-,-
A836,A,B,-,A,A,A,-,B,-,-,A,-,B,-,A,-,B,-,A,A,-,-,-,B,-,-,-,-,B,B,B,A,-,-,A,-,-,A,A,-,-,A,A,B,-,B,A,-,B,-,B,A,-,B,B,-,-,-,B,-,B,A,A,-,A,B,-,B,-,-,B,B,-,-,B,A,-,B,B,-,A,-,B,-,A,-,-,-,A,A,-,A,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,A,-,B,-,-,-,B,A,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,B,-,-,A,A,-,B,B,-,-,-,-,A,B,B,-,-,-,B,-,A,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,-,-,-,-,B,-,-,A,-,B,-,B,-,-,-,B,-,-,-,-,-,B,-,-,-,-,A,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,B,-,B,-,-,-
A836,A,B,-,A,-,A,-,B,-,-,A,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,A,-,-,-,-,-,-,A,A,B,-,-,A,-,B,-,B,-,-,-,-,-,-,-,B,-,-,-,-,-,A,-,-,-,-,-,B,B,-,-,B,-,-,B,B,-,A,-,-,-,-,-,-,-,-,-,-,A,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,A,-,-,-,-,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,B,-,-,A,A,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,A,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,A,-,-,B,-,-,-,-,-
NCPA-F2R2 (RAa),-,-,-,-,B,-,-,-,-,-,-,-,A,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,A,-,-,-,-,-,-,B,-,-,-,-,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,A,B,B,B,B,B,A,B,-,A,A,-,-,B,A,A,A,-,B,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,A,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,B,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A5200,A,B,-,-,-,-,-,-,-,-,B,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,A,-,-,B,-,-,A,A,-,-,B,A,-,-,B,-,-,B,-,B,A,-,B,-,-,-,-,A,-,B,-,A,-,-,-,-,B,-,-,B,A,-,-,-,-,-,B,B,-,-,-,A,-,B,-,-,-,-,A,-,A,-,-,-,-,-,-,-,B,-,-,-,-,-,-,A,-,A,-,B,-,-,-,B,B,-,A,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,A,-,-,A,-,-,B,B,-,A,B,-,-,-,-,-,B,-,-,-,-,-,-,A,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,A,-,B,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,-,-,-,-,-,-
A430,A,B,-,A,B,B,-,A,-,-,-,-,-,-,-,-,B,-,A,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,A,A,B,-,B,-,-,B,-,B,A,-,B,A,-,-,-,-,-,B,B,-,-,-,B,-,B,-,-,B,A,-,-,A,A,-,B,B,-,-,-,A,-,B,-,-,-,B,-,-,-,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,-,-,B,-,-,-,B,-,-,A,-,-,-,-,B,-,-,B,-,B,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,-,A,-,A,B,-,-,-,-,-,B,B,-,-,-,B,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,A,-,B,-,-,-
A420,A,B,-,A,-,B,-,A,-,-,-,-,A,-,A,-,B,-,A,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,A,-,-,-,-,-,-,A,-,-,-,-,A,-,B,-,-,-,-,B,-,-,-,-,-,-,B,-,-,-,A,B,-,B,-,-,-,A,-,-,A,A,-,B,B,-,-,-,A,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,A,-,B,-,-,-,-,A,-,A,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,A,-,-,-,A,-,-,B,-,-,-,-,A,B,B,-,-,-,-,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,B,-,-,A,-,B,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,A,-,B,-,-,-
A413,A,B,-,A,B,B,-,A,-,-,A,-,A,-,A,-,B,-,A,A,-,-,-,A,-,-,-,-,A,B,B,A,-,-,A,-,-,A,A,-,-,A,A,-,-,B,A,-,B,-,B,A,-,B,A,-,-,-,A,-,B,A,A,-,A,B,-,B,-,-,B,A,-,-,-,A,-,B,B,-,A,-,A,-,B,-,-,-,B,A,-,A,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,A,-,B,-,-,-,B,A,-,A,-,A,-,-,B,-,-,B,-,B,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,A,A,-,A,B,-,-,-,-,A,B,B,-,-,-,A,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,B,-,-,A,-,-,-,A,-,-,-,B,-,-,-,-,-,A,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,A,-,-,A,-,-,A,-,B,-,-,-
A145,A,B,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,A,-,-,-,-,-,-,-,-,A,B,-,-,-,-,A,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,B,-,-,B,A,-,-,-,-,-,-,-,-,-,A,-,-,B,-,-,B,A,-,-,A,A,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,A,-,-,-,A,-,A,-,-,-,-,-,B,-,-,A,-,A,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,A,-,-,A,A,-,-,B,-,-,-,-,-,B,B,-,-,-,A,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,B,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,A,-,-,-,-,-
A422,A,B,-,B,B,B,-,A,-,-,A,-,A,-,A,-,B,-,A,A,-,-,-,A,-,-,-,-,A,B,B,A,-,-,A,-,-,A,A,-,-,A,A,A,-,B,A,-,B,-,B,A,-,B,A,-,-,-,A,-,B,A,A,-,A,B,-,B,-,-,B,A,-,-,A,A,-,B,B,-,A,-,A,-,B,-,-,-,-,-,-,A,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,A,-,B,-,-,-,B,A,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,A,A,-,B,B,-,-,-,-,A,B,B,-,-,-,A,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,A,-,B,-,-,-
A428,A,B,-,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,-,A,-,-,-,-,-,-,-,-,A,-,B,A,-,-,A,-,-,A,A,-,-,A,A,-,-,-,A,-,B,-,B,-,-,B,A,-,-,-,-,-,B,-,-,-,-,-,-,B,-,-,-,-,-,-,B,A,-,B,-,-,A,-,A,-,B,-,-,-,A,-,-,A,-,-,-,B,-,-,-,-,-,-,A,-,-,-,-,-,A,-,B,-,-,-,B,-,-,-,-,A,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,-,-,-,A,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,B,-,-,A,-,-,-,A,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,A,-,-,A,-,-,A,-,B,-,-,-
A432,A,B,-,A,-,B,-,A,-,-,A,-,-,-,A,-,B,-,A,-,-,-,-,A,-,-,-,-,A,B,-,A,-,-,A,-,-,A,-,-,-,A,A,A,-,-,A,-,-,-,-,A,-,B,-,-,-,-,A,-,B,-,A,-,A,B,-,B,-,-,-,A,-,-,-,A,-,B,B,-,-,-,A,-,-,-,-,-,-,A,-,A,-,-,-,-,-,-,-,-,-,-,A,-,-,-,A,-,-,-,B,-,-,-,B,A,-,A,-,A,-,-,B,-,-,-,-,B,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,A,A,-,-,B,-,-,-,-,-,B,B,-,-,-,A,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,A,B,-,A,-,-,A,-,B,-,-,-
A421,A,B,-,A,B,B,-,B,-,-,-,-,A,-,A,-,B,-,A,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,A,-,-,-,A,A,-,-,B,A,-,B,-,B,A,-,B,-,-,-,-,A,-,B,B,-,-,-,B,-,B,-,-,B,-,-,-,B,A,-,B,B,-,-,-,B,-,B,-,-,-,B,-,-,-,-,-,-,B,-,-,-,B,-,-,-,-,-,-,A,-,-,-,B,-,-,-,B,A,-,A,-,A,-,-,B,-,-,B,-,B,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,A,B,B,-,-,-,-,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,B,-,-,-,-,B,-,-,-,-,-,B,-,-,-,-,-,A,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,A,-,B,-,-,-
A423,A,B,-,A,B,B,-,-,-,-,-,-,-,-,A,-,B,-,A,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,A,B,-,B,A,-,B,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,B,-,B,-,-,B,A,-,-,B,A,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,B,-,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,-,-,B,A,-,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,A,-,-,-,B,-,-,-,-,A,-,B,-,-,-,-,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,A,-,-,-,A,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,B,-,-,-
A425,A,B,-,A,B,B,-,A,-,-,-,-,A,-,-,-,B,-,A,A,-,-,-,-,-,-,-,-,-,B,B,A,-,-,A,-,-,-,A,-,-,A,A,-,-,B,A,-,B,-,-,-,-,-,A,-,-,-,A,-,-,A,-,-,A,B,-,B,-,-,B,A,-,-,-,A,-,B,B,-,A,-,A,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,B,-,-,-,-,-,-,A,-,A,-,B,-,-,-,B,A,-,A,-,A,-,-,-,-,-,B,-,B,-,-,-,-,-,-,-,-,-,-,B,-,A,-,-,A,-,-,A,A,-,A,B,-,-,-,-,A,-,B,-,-,-,A,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,A,-,-,-,A,-,-,-,B,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,A,-,-,A,-,-,A,-,B,-,-,-
np=neo 2014-2015,A,B,A,A,B,A,-,A,B,A,A,B,A,A,A,B,A,B,A,A,-,A,A,A,B,B,B,A,A,B,A,A,B,A,-,B,B,A,A,B,B,A,A,B,-,B,A,B,A,B,A,-,A,A,A,B,B,B,A,B,B,A,A,B,A,A,B,B,A,B,B,A,B,B,B,B,B,B,B,B,A,B,A,B,A,B,A,A,A,A,B,-,A,B,B,B,B,B,A,B,B,A,B,A,B,B,A,-,A,-,A,B,A,A,-,A,B,A,B,A,A,A,A,B,A,-,B,-,B,A,A,A,A,B,B,A,A,B,B,B,A,B,-,A,A,B,A,A,B,B,B,-,-,B,B,A,A,B,B,B,B,A,-,-,-,A,-,B,B,B,B,B,B,B,A,A,B,A,B,B,B,B,A,A,B,A,A,A,B,B,B,A,A,B,B,B,A,A,B,A,B,A,B,A,B,B,B,B,B,B,A,A,B,B,B,B,B,A,B,B,A,A,B,B,B,B,B,A,B,A,B,B,B,A,A,A,B,A,B,A,B,B,B,B,B,A,A,B,A,B,A,B,A,B,A,A,B
Np-updated ,A,B,A,A,B,A,-,A,B,A,A,B,A,A,A,B,A,B,A,A,-,A,A,A,B,B,B,A,A,B,A,A,B,A,-,B,B,A,A,B,B,A,A,B,-,B,A,B,A,B,A,-,A,A,A,B,B,B,A,B,B,A,A,B,A,A,B,B,A,B,B,A,B,B,B,B,B,B,B,B,A,B,A,B,A,B,A,A,A,A,B,-,A,B,B,B,B,B,A,B,B,A,B,A,B,B,A,-,A,-,A,B,A,A,-,A,B,A,B,A,A,A,A,B,A,-,B,-,B,A,A,A,A,B,B,A,A,B,B,B,A,B,-,A,A,B,A,A,B,B,B,-,B,B,B,A,A,B,B,B,B,A,-,-,-,A,-,B,B,B,B,B,B,B,A,A,B,A,B,B,B,B,A,A,B,A,A,A,B,B,B,A,A,B,B,B,A,A,B,A,B,A,B,A,B,B,B,B,B,B,A,A,B,B,B,B,B,A,B,B,A,A,B,B,B,B,B,A,B,A,B,B,B,A,A,A,B,A,B,A,B,B,B,B,B,A,A,B,A,B,A,B,A,B,A,A,B
AD270 LG 3-Delta=A,A,B,-,A,B,A,-,A,-,-,A,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,A,B,A,A,-,-,A,-,-,A,A,-,-,A,A,A,-,A,A,-,A,-,A,A,-,A,A,-,-,-,A,-,B,A,A,-,A,A,-,B,-,-,B,A,-,-,B,-,-,B,B,-,A,-,A,-,A,-,-,-,A,A,-,A,-,-,-,-,-,-,-,B,-,-,B,-,-,-,A,-,A,-,A,-,-,-,A,A,-,A,-,A,-,-,A,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,B,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,A,A,B,-,-,-,A,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,A,-,-,-,-,-,-,B,-,-,A,-,A,-,A,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,A,-,-,-,-,-
tall/dwf based on grnhouse data+ field,A,B,B,A,A,A,A,A,A,B,A,B,A,B,A,B,A,B,A,A,B,A,A,A,-,B,-,B,A,A,A,A,B,B,A,B,A,A,A,B,B,A,A,A,B,A,A,B,A,B,A,A,B,A,A,B,B,B,A,B,A,A,A,B,A,A,B,A,B,B,A,A,B,B,A,A,B,A,A,B,A,B,A,B,A,B,A,A,A,A,B,A,B,B,B,A,B,B,A,A,B,-,A,A,B,-,A,B,A,B,A,B,A,A,A,A,B,A,B,A,A,A,A,B,A,A,B,A,B,B,B,B,A,B,B,B,A,A,A,B,A,B,A,A,B,B,A,A,B,A,A,B,B,B,B,A,A,A,B,B,B,A,B,A,B,A,B,B,A,A,B,B,B,B,B,A,B,A,B,B,B,B,A,B,B,A,A,A,B,B,B,B,B,B,A,B,B,A,B,A,B,A,B,B,B,A,B,B,B,A,B,A,B,B,B,B,A,B,B,B,A,A,-,B,B,B,B,A,A,-,B,B,B,B,A,A,B,A,-,B,B,B,B,A,B,A,A,B,A,B,-,A,B,A,B,B,B
A1063,A,B,-,A,A,A,-,A,-,-,B,-,B,-,B,-,B,-,B,B,-,-,-,B,-,-,-,-,B,B,B,B,-,-,A,-,-,B,B,-,-,A,B,B,-,B,B,-,B,-,A,B,-,A,B,-,-,-,A,-,B,B,A,-,A,B,-,B,-,-,A,A,-,-,B,B,-,B,B,-,B,-,A,-,B,-,-,-,A,B,-,A,-,-,-,B,-,-,-,B,-,-,B,-,-,-,B,-,A,-,A,-,-,-,B,A,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,B,-,-,A,A,-,A,A,-,-,-,-,B,B,B,-,-,-,A,-,B,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,A,-,-,-,-,-,-,A,-,-,B,-,B,-,A,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,A,B,-,A,-,-,A,-,B,-,-,-
A1066,A,B,-,A,A,A,-,B,-,-,B,-,B,-,B,-,B,-,B,B,-,-,-,B,-,-,-,-,B,B,B,B,-,-,A,-,-,B,B,-,-,A,B,B,-,B,B,-,B,-,A,B,-,A,B,-,-,-,A,-,B,B,A,-,A,B,-,B,-,-,A,B,-,-,B,B,-,B,B,-,B,-,A,-,B,-,-,-,A,A,-,A,-,-,-,B,-,-,-,B,-,-,B,-,-,-,B,-,A,-,A,-,-,-,B,A,-,A,-,A,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,B,-,-,A,A,-,A,A,-,-,-,-,B,B,B,-,-,-,A,-,B,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,A,-,-,-,-,-,-,A,-,-,B,-,B,-,A,-,-,-,-,-,-,-,-,-,B,-,-,-,-,B,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,A,-,B,-,-,-
